site	x	y	road_len	area	rd_dens	prec_mean	prec_sd	prec_cv	Ave_catchment_order	Ave_river_protect	Ave_imperviousness	Ave_natural_cover	Ave_pressure_sum	ave_logNconcen	mean_C_percent	mid_pH	masr	mat	elev	ALP	BG	BGC	BGL	BL	BRock	GY	HCPYB	HCYB	ice	IRENYB	IYBBL	IYBLRE	IYBLYB	IYBRE	IYGRE	IYGYB	lake	LIT	MSoil	OR	POD	PYB	PYBL	PYBP	PYBP/YBL	R/YP/YBL	RE	RE/YBP	REND	rive	RL	SAGY	SAOR	SKele	town	UYB	UYG	YB	YBL	YBL/YB	YBP	YBP/YBL	YBS	YBST	YG	artificial2	bare2	water2	cropland2	grassland2	scrub2	forest2	artificial3	bare3	water3	cropland3	grassland3	scrub3	forest3	bare	scrub	exotic_grassland	ind_forest	tussock	plantations	urban	freshwater	marine	high_alt	low_alt	urbanised	aquatic_veg	Alpine Grass/Herbfield	Broadleaved Indigenous Hardwoods	Built-up Area (settlement)	Coastal Sand and Gravel	Deciduous Hardwoods	Depleted Grassland	Exotic Forest	Fernland	Flaxland	Forest - Harvested	Gorse and/or Broom	Gravel and Rock	Herbaceous Freshwater Vegetation	High Producing Exotic Grassland	Indigenous Forest	Lake and Pond	Landslide	Low Producing Grassland	Mangrove	Manuka and/or Kanuka	Matagouri or Grey Scrub	Mixed Exotic Shrubland	Orchard Vineyard & Other Perennial Crops	Permanent Snow and Ice	River	Short-rotation Cropland	Sub Alpine Shrubland	Surface Mines and Dumps	Tall Tussock Grassland	Transport Infrastructure	Urban Parkland/Open Space	Richness	Rapaport node
IRC	170.3487463265911	-44.08734428289344	16008.74	15236.99	0.115527399	813.86	253.67	0.312	3.25	0.203275	0.00340441	0.52779977	0.50909645	0.078567806	15.10909053	5.69545443	15.2893	9.2235003	641	0	0	0	0	0	0	0	0	2065.292662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1924.049563	0	0	0	0	0	0	0	0	20674.92465	0	1745.996156	0	0	0	0	0	0	0	0	193.565369	27.11070299	0	14859.33887	66.38959977	90.58190586	0	193.48	26.92	0	14778.38	66.4	171.83	193.48	66.4	1375.56	0	13336.82	171.83	0	92.92	0	7163.26	6159.84	0	66	0	0	0	0	19.6	273.6	152.23	0	0	0	0	193.48	66	1375.56	0	10.1	0	6093.44	0	0	66.4	0	0	0	16.82	0	0	0	6969.78	0	0	454	4
JLB	173.18478751937553	-41.334848740844734	14193.98	264.21	4.64814806	988.8	13	0.013	2.375	0.1178625	0.261036163	0.055381269	0.46491625	-0.001049283	14.4291663	5.770833313	14.9849997	12.9672003	6	0	0	0	0	0	0	568.4627625	0	0	0	821.8319625	0	0	0	0	0	1535.502733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	274.318625	0	0	2193.786306	0	0	0	0	0	836.49525	0	130.1771309	0	0	0.567202288	50.40136656	2.900549336	80.16676825	157.06	0	0	0.55	30.29	21.46	54.83	0	2.89	30.84	19.6	0	53.8	157.06	0	0	0	0	154.11	0	0	18.57	153.01	0	1.06	0	52.74	0	0	0	2.89	0	0	30.29	1.03	0	0	0	0	0	0	0	0.55	0	0	0	0	0	0	2.95	1.1	2229	7
JLH	173.19170317087392	-41.34978119693334	965.76	104.39	3.209852695	1028.67	12.74	0.012	2.666666667	0.147333333	0.160874433	0.095790683	0.451943	0.091953767	15.3999996	6.399999989	14.8583002	12.6285	49	0	0	0	0	0	0	0	0	0	0	273.9439875	0	0	0	0	0	383.8756832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1543.074675	0	0	0	0	0	173.4277875	0	5.534686589	0	0	0	22.98643241	2.870518999	73.00326792	10.89	0	0	0	24.35	19.03	50.11	0	2.86	24.35	17.2	0	49.08	10.89	0	0	0	0	7.97	0	0	16.17	7.97	0	0.6	0	48.48	0	0	0	2.86	0	0	24.35	1.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.92	0	2435	7
JLW	173.18700372049332	-41.345041877275214	4930.47	167.45	4.33999157	1000	0	0	2.333333333	0.113866667	0.246888667	0.034065767	0.479288444	-0.038764914	14.29999963	5.807142836	14.9357004	12.8563004	20	0	0	0	0	0	0	0	0	0	0	821.8319625	0	0	0	0	0	1151.62705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137.1593125	0	0	899.7677875	0	0	0	0	0	504.9615188	0	36.7503691	0	0	0.567202288	48.89992444	2.870515705	78.36205327	62.15	0	0	0.55	30.29	21.43	53.01	0	2.86	30.84	19.6	0	51.98	62.15	0	0	0	0	60.04	0	0	18.57	60.04	0	1.06	0	50.92	0	0	0	2.86	0	0	30.29	1.03	0	0	0	0	0	0	0	0.55	0	0	0	0	0	0	2.11	0	2557	7
K	174.56011106781327	-36.77376967947263	85850.39	4519.12	1.879396796	1318.38	55.6	0.042	3.071428571	0.049371429	0.093277086	0.2988263	0.633611929	-0.06106275	17.16363597	5.354545327	13.1006002	14.4583998	31	0	0	4651.6302	0	0	0	783.0821	0	0	0	0	0	0	0	0	0	0	0	0	0	133.07545	0	813.0346	0	0	0	0	0	0	0	0	0	0	0	0	79.1018	0	0	0	2115.365521	0	0	0	0	0	0	84.55430186	0	1.165157385	172.092325	3479.615081	499.8024079	281.8925633	86.8	0	1.15	177.72	3447.2	448.34	357.89	10.7	343.29	3620.12	220.77	4.8	231.47	86.8	1.15	0	0	4.8	84.39	0	0	105.05	62.01	0	0	0	231.47	0	0	10.7	12.33	0	0	3442.4	115.72	1.15	0	4.8	0	329.99	0	0.97	118.19	0	0	59.53	0	2.41	0	0	22.38	1997	20
KAR	174.72245615207495	-41.296715783562234	40993.88	637.41	4.40848732	1133.48	14.68	0.013	3	0.230175	0.138977875	0.62772475	0.444771	-0.486557875	13.72307658	4.799999854	13.9858999	12.2660999	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11963.4404	0	0	1225.8484	0	0	0	0	0	0	0	310.5513181	0	0	0	13.96538566	301.3176422	11.57097763	318.34	0	0	0	14.17	292.48	12.42	0	23.58	13.91	268.9	0.26	12.42	318.34	0	0	0	0.26	318.34	0	0	268.9	305.17	0	0	0	12.42	0	0	0	23.58	0	0	13.91	0	0	0	0.26	0	0	0	0	0	0	0	0	0	0	0	0	13.17	2746	12
KAU	175.67110012142678	-37.06101431920504	0	1332.71	0.014735446	1999.33	9.48	0.005	3.125	0.3841375	0.002812275	0.970030875	0.826515625	-0.049379071	22.8999996	5.20999994	13.4977999	13.8202	174	0	0	967.1568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3284.312113	0	0	0	0	0	0	0	0	0	0	0	0	252.3015363	1080.412128	0	0	0	0	0	267.86	1064.86	0	267.86	0	1064.86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1064.86	0	0	0	0	267.86	0	0	0	0	0	0	0	0	0	0	0	1482	20
KH	175.6179447866051	-40.44024871167154	11388.22	4017.66	0.306342959	1271.71	159.06	0.125	3.071428571	0.252389286	0.007097875	0.563481304	0.606319107	0.623279891	24.12399978	5.441333272	13.6760998	12.7515001	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82.77983175	0	0	0	0	0	103.9641371	0	0	0	0	36.4533129	0	0	0	0	0	0	0	0	0	0	7586.033984	163.0913793	0	0	0	0	76.17587296	0	0	0	0	0	1459.989655	1384.761658	1172.91148	0	0	0	0	1407.2	1375.21	1235.23	0	56.46	70.53	1568.29	1336.67	985.69	0	0	0	0	1336.67	0	0	0	1318.75	0	0	0.65	0	985.04	0	0	0	56.43	0	0	70.53	249.54	0	0	1336.67	0	0.03	0	0	0	0	0	0	0	0	0	0	0	417	11
KKP	174.4629435250331	-36.630047000565845	1525.04	79.89	1.316240668	1167	6	0.005	3.333333333	0.0328	0.068959233	0.277444333	0.681879667	-0.373865	13.5999996	5.21999998	13.4778996	14.6456003	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160.66155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	858.26525	0	0	0	0	0	0	0	0	0	0	0	14.33489583	50.84741651	14.70914378	0.9	0	0	0	13.66	50.2	15.14	0	44.92	13.66	19.47	0	0.95	0.9	0	0	0	0	0.9	0	0	5.28	0.9	0	0	0	0.95	0	0	0	0	0	0	13.66	14.19	0	0	0	0	44.92	0	0	0	0	0	0	0	0	0	0	0	3203	18
KN	175.19542194508176	-37.068428452504385	0	478.22	0.053839583	1605.4	20.06	0.012	3	0.236266667	0.005883033	0.923756333	0.407753667	-0.334508755	13.1499996	5.3249998	12.8249998	12.8597002	220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4238.33349	0	0	0	0	0	0	0	0	0	0	0	0	0.310287834	477.9071983	0	0	0	0	0	0.29	477.92	0	0	0	478.21	0	0	0	0	0	0	0	0	0	0	0.29	0	0	0	0	0	0	0	0	0	0	0	0	477.92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2439	20
KOW	173.6329079755881	-42.416144928766805	15324.85	8451.37	0.193536729	1210.88	417.68	0.345	3	0.48091	0.010589075	0.712847445	0.7774797	0.244915	12.90576893	5.169230658	14.2761002	12.5199003	5	2330.223881	0	0	0	0	1038.027027	0	0	3231.684642	0	0	0	0	0	0	0	1146.958713	0	0	0	0	0	0	0	0	0	0	2480.858581	0	201.5902012	419.66455	0	0	0	0	0	3719.670057	0	2201.976137	0	0	0	0	176.70625	0	0	9.666870674	2041.800355	0	0	1359.286635	4424.131318	616.482059	9.67	2041.71	0	0	1344.43	4420.44	635.11	1986.47	1392.29	861	3368.61	483.43	349.89	9.67	0	0	3287.2	43.3	9.67	0	55.24	2219.98	0	0	210.08	0	139.81	0	0	0	10.21	1983.66	0	861	285.22	0	2.81	43.3	0	1382.08	0	0	0	0	0	0	808.17	0	440.13	0	9.67	850	7
KP	172.58621274354493	-43.415291247408845	13679.5	1015.27	1.612137079	552	12.31	0.022	4.4	0.0705	0.06436098	0.16084862	0.3802418	-0.196439533	11.23333293	5.999999833	13.1018	11.7354002	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2381.292275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	768.0043125	0	0	0	487.8326137	509.974885	3.949411867	13.50895455	0	0	0	487.88	510.12	3.94	13.32	0	3.94	998	0	0	13.32	0	0	0	0	3.94	0	0	0	0	0	0	8.4	0	4.92	0	0	0	0	0	0	510.12	0	0	0	0	0	0	3.94	0	14.35	0	0	473.53	0	0	0	0	0	693	5
KRK	175.50099808746305	-36.75810764940916	6584.04	631.58	1.059341073	1670.48	13.97	0.008	2.5	0.191016667	0.100114967	0.665738	0.644141	0.435329	26.91666633	5.166666667	13.8990002	15.4169998	14	0	0	1677.596269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	437.8442563	0	0	0	0	0	0	0	0	0	0	1755.943294	0	0	0	0	0	0	0	7.951100343	0	0	0	42.43687694	201.0805004	380.1139436	14.41	0	0	0	35.09	191.91	390.15	0	170.22	35.09	338.84	0	73	14.41	0	0	0	0	6.51	0	0	21.69	6.51	0	0	0	73	0	0	0	0	0	0	35.09	317.15	0	0	0	0	170.22	0	0	0	0	0	0	0	0	0	7.9	0	1002	20
KT	174.61218581150698	-37.097268684447336	301.32	79.89	0.968521416	1079.75	1.3	0.001	3	0.0353	0.055148	0.336468	0.708843	0.200406689	17.3999996	5.54999995	13.9935999	15.1752996	40	0	0	0	391.1005938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	470.21855	0	0	0	0	0	0	2.120017321	48.24046687	29.52929886	0	0	0	0	2.1	4.03	73.76	0	1.2	2.1	75.91	0	0.68	0	0	0	0	0	0	0	0	2.83	0	0	0	0	0.68	0	0	0	0	0	0	2.1	73.08	0	0	0	0	1.2	0	0	0	0	0	0	0	0	0	0	0	3531	16
KTN	172.687013386946	-43.74230980878217	6730.6	2961.09	0.212089464	1027.68	41.36	0.04	3.111111111	0.252344444	0.005626722	0.157703767	0.525362333	0.109679421	17.66923037	5.723076892	13.3741999	12.0625	20	0	0	0	3455.41145	0	0	0	0	0	0	0	0	0	0	0	0	1953.058731	0	0	0	0	0	0	0	0	0	0	425.7131813	0	0	0	0	0	0	0	0	1420.084725	0	0	0	0	0	0	0	0	0	0	0	0	0	2047.574584	676.324806	237.1886916	0	0	0	0	2028.82	685.07	247.23	0	324.75	1854.19	534.02	174.63	73.53	0	0	0	0	174.63	0	0	0	360.32	0	0	0	0	73.53	0	0	0	22.18	0	0	1854.19	173.7	0	0	174.63	0	302.57	0	0	0	0	0	0	0	0	0	0	0	947	5
KWH	174.7794024051926	-41.25799196550271	89094.56	1582.09	5.140645981	1101.17	38.51	0.035	2.642857143	0.2128	0.343383221	0.416836864	0.441102857	0.2115	14.95454509	5.14999985	14.0616999	13.2299995	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11963.4404	0	0	2440.51248	0	0	0	0	0	0	0	614.1197137	0	3.696261117	0	144.9262117	692.1967242	127.1500196	616.81	0	3.62	0	144.87	690.04	126.8	0	177.3	144.87	533.41	0	106.13	616.81	3.62	0	0	0	616.17	0	0	512.74	578.66	0	0	0	106.13	0	0	0	177.3	0	0	144.87	20.67	3.62	0	0	0	0	0	0	0	0	0	0	0	0	0	0.64	37.51	505	7
LG	174.7063407571756	-36.76999363116342	2129.93	39.5	6.106044292	1108	3	0.003	2	0.0493	0.460848	0.443852	0.557056	0.174816486	8.2666664	4	12.5304003	15.0773001	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	178.83455	0	0	0	0	0	0	0	0	0	0	0	0	6974.017066	0	0	0	0	0	0	0	0	0	0	18.53775226	0	0	0	0.409604443	1.112561916	19.44280275	19.06	0	0	0	0	1.11	19.32	0	0	0	20.43	0	0	19.06	0	0	0	0	19.06	0	0	1.11	18.35	0	0	0	0	0	0	0	0	0	0	0	19.32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.71	2811	16
LU	174.69941948497095	-36.72289568194546	26700.4	493.75	5.123575687	1141.1	3.01	0.003	2.428571429	0.0679	0.470314714	0.2070885	0.506855143	0.117291914	11.59999965	4.824999988	12.7869997	15.2184	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	618.63265	0	0	0	0	0	0	0	0	0	0	0	0	6974.017066	0	0	962.8371	125.9687	0	0	0	0	0	0	165.4671842	0	0	0	225.3771775	50.56583165	52.34389181	281.08	0	0	0	124.3	57.09	31.27	0	40.26	124.3	38.8	0	9.3	281.08	0	0	0	0	270.44	0	0	16.83	209.69	0	0	0	9.3	0	0	0	0	0	0	124.3	21.97	0	0	0	0	40.26	0	0	0	0	0	0	0	0	0	10.64	60.75	2156	16
LV	174.73945395720338	-36.68438762051493	3264.36	198.14	3.47501111	1143	2.88	0.003	2	0.090571429	0.299039029	0.227184571	0.578918	0.827605667	10.96999968	4.60999999	12.9769001	15.3659	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88.7448	0	867.31295	0	0	0	0	0	0	0	0	0	0	0	0	13948.03413	0	0	620.5043	0	0	0	0	0	0	0	7.997393658	0	0	0	117.2539759	45.00900378	27.87837434	7.92	0	0	0	117.58	54.14	18.52	0	50.33	117.58	8.95	0	13.38	7.92	0	0	0	0	7.92	0	0	3.81	7.92	0	0	0	13.38	0	0	0	0	0	0	117.58	5.14	0	0	0	0	50.33	0	0	0	0	0	0	0	0	0	0	0	3028	16
LYL	173.6787324713158	-42.376508599350316	4104.78	340.83	1.317395449	721.79	17.47	0.024	3.333333333	0.0419	0.041812333	0.190377967	0.495084667	0.455043667	8.8999996	6.233333267	14.3128004	12.3788996	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2243.468377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.84824725	331.1229302	0.854407356	0	0.24	0	0	0	339.76	0.83	0	0	0	339.76	0.83	0	0	0.24	0	0	0	0	0.24	0	0	0.83	0.24	0	0	0	0	0	0	0	0	0	0	339.76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	938	7
M	174.92531891117767	-36.768722061311	2153.76	118.03	0.958824039	1079.5	0.5	0	1.666666667	0.096	0.039429567	0.0182388	0.621125333	0.045756133	22.8999996	5.1999998	13.2481003	15.4737997	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1315.477381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98.67332962	11.99008232	7.36760746	0	0	0	0	98.72	11.94	7.37	0	3.32	98.72	8.62	0	7.37	0	0	0	0	0	0	0	0	8.62	0	0	7.37	0	0	0	0	0	0	0	0	98.72	0	0	0	0	0	0	0	3.32	0	0	0	0	0	0	0	0	0	2662	16
MA	174.46029033605316	-36.457690792358605	0	70.5	0.281425416	1176.75	3.83	0.003	3.666666667	0.066666667	0.023085733	0.197674333	0.657215667	0.114653813	39.4499998	5.5	13.8832998	14.6153002	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	594.7092	0	0	0	0	0	0	0	0	0	0	0	0	0	70.49630001	0	0	0	0	0	0	70.5	0	0	0	70.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3821	18
MB	170.32344823517576	-44.17450617756138	25885.96	11754.44	0.225529611	626.06	202.81	0.324	3.1875	0.1070125	0.007117869	0.314189	0.472346625	-0.14403215	13.68421016	5.868420961	15.1690998	9.6553001	518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2009.246125	0	0	0	0	0	0	0	0	20482.88448	1601.385706	2743.587316	0	0	0	0	0	152.17886	662.3378938	0	0	56.36223801	19.32994293	11494.59237	142.4799895	41.6776495	0	0	56.2	19.36	11224.61	417.27	37	0	417.27	1398.41	0	9758.13	37	0	143.63	0	2201.52	6967.25	0	87.43	0	0	0	0	6.72	952.03	30.28	0	0	0	0	0	87.43	1379.05	0	6.8	0	6604.58	0	17.65	362.67	36.95	0	0	49.4	19.36	0	0	2201.52	0	0	712	4
MD	175.4144557501217	-39.39840557699007	0	47.1	1.435859442	1429.5	6.5	0.005	3.5	0.27695	0.02000535	0.639985	0.5672285	0.287813345	18.3999996	6.3499999	13.0787001	10.0495996	628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121.6791063	462.3605438	0	0	0	0	0	0	0	0	0	0	0	0	47.09832598	0	0	0	0	0	0	47.1	0	0	0	47.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	887	12
MGK	176.90603956478978	-39.96488713029553	27801.65	8674.51	0.307239383	926.35	17.56	0.019	3.275862069	0.069065517	0.0116732	0.041466845	0.65489031	0.173659433	21.89552206	5.90746266	14.4689999	13.2631998	20	0	0	0	0	0	109.47905	0	0	0	0	0	0	0	0	0	0	10424.95254	0	0	0	0	0	0	0	0	0	0	2357.274838	0	0	0	0	0	0	0	0	0	0	3206.738794	0	0	0	0	0	0	4085.817575	0	2.04972776	7.791853136	0	7524.423434	506.9076492	633.3350625	0	2.02	7.47	0	7466.51	483.81	714.7	2.02	383.32	7325.94	242.31	140.19	572.88	0	7.85	0	0	165.83	0	0.38	0	100.49	0	0	145.8	0	427.08	0	0	0	104.28	0	0.38	7325.94	141.82	7.47	2.02	140.19	0	253.4	25.64	0	0	0	0	0	0	0	0	0	0	2162	7
MGP	175.14260402279956	-40.74227557114825	17325.48	495.81	2.504175663	1054.42	21.84	0.021	4.333333333	0.191766667	0.045954333	0.434332333	0.601495667	0.0048188	15.29999964	4.961111122	13.6136999	13.3135004	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	396.9557247	0	0	0	0	0	0	0	226.5351017	0	0	0	156.1371953	0	0	0	223.7871208	148.8148164	0	195.4585194	0	0	15.06288665	242.6247913	16.45180064	26.21031556	200.31	0	0	15.06	238.43	16.25	25.78	0	9.87	253.49	18.12	0	14.04	200.31	0	0	0	0	200.31	0	0	6.38	138.32	0	0	0	14.04	0	0	0	7.97	0	0	238.43	11.74	0	0	0	0	0	0	1.9	0	0	0	15.06	0	0	0	0	61.99	1455	7
MH	174.6473108652057	-36.45009956014561	4770.74	445.22	1.012815714	1380	15.77	0.011	3.333333333	0.086233333	0.036900833	0.206582	0.689570667	-0.272497975	20.32857103	5.357142714	13.9378004	14.4376001	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1589.9414	0	0	0	0	0	0	0	0	0	0	0	0	0	445.2185898	0	0	0	0	0	0	445.23	5.17	0	0	11.91	0	428.15	0	0	0	0	0	0	0	0	0	0	0	0	0	428.15	0	0	5.17	0	0	0	0	11.91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3841	18
MKD	176.30747979837537	-39.082130670985954	59316.9	27131.53	0.221037418	1741	0	0	3.215827338	0.2503	0.008529148	0.710598254	0.56673564	-0.58273164	12.4019681	5.589369956	13.5609999	10.1101999	619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169.0204688	10831.07873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80527.17996	0	0	33541.43568	0	0	0	0	37.61463935	49.03178919	4.578096448	0	4796.370018	3041.709822	19202.22112	37.62	48.97	4.45	0	4794.53	1759.92	20485.99	435.58	1227.87	4148.42	17307.59	618.31	3323.84	37.62	32.25	0	79.25	613.54	0	27.8	0	506.54	0	0	22.08	0	3301.76	0	0	386.61	22.82	48.97	27.8	4148.42	16775.54	4.45	0	613.54	0	1205.05	0	0	0	0	0	0	25.51	3.42	4.77	34.2	0	1066	12
MKM	176.58908630616475	-39.048923183819305	10983.49	14366.77	0.103354432	1258.07	26.05	0.021	3.4	0.331024	0.002829456	0.93889708	0.68164588	-0.586505763	11.6812496	5.603124819	13.9278002	11.6342001	403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1191.944769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25467.20743	0	0	2006.189344	0	0	0	0	0	6.829970621	0	0	179.4435605	317.1835708	13863.31365	0	6.64	0	0	105.1	507.04	13748.01	11.12	408.47	41.77	13821.45	63.33	20.65	0	0	0	3.87	63.33	0	0	0	98.57	0	0	0	0	20.65	27.3	0	4.48	0	3.87	0	41.77	13722.88	0	2.77	63.33	0	381.17	0	0	0	0	0	0	0	0	0	0	0	330	12
MKU	176.27768124888334	-39.07865809588233	0	11638.47	0	2039.83	26.02	0.013	3.254237288	0.330328814	0.000376695	0.980133661	0.615709102	-0.30318925	12.42272687	5.667045259	13.6161003	10.1952	620	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.7727875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48294.06157	0	0	2868.284031	0	0	0	0	0	36.75382067	0	0	95.85157955	254.669822	11251.19819	0	36.69	0	0	80.7	269.64	11251.43	36.69	226.22	0	11294.85	80.7	0	0	0	0	66.08	75.87	0	0	0	18.86	0	0	0	0	0	0	0	0	19.45	36.69	0	0	11251.43	0	0	75.87	0	206.77	0	0	0	0	0	0	24.56	0	4.83	0	0	1248	12
ML	175.17549059621737	-37.11163228758819	0	228.91	0.436087459	1684.67	9.31	0.006	3.5	0.205325	0.01202015	0.93848675	0.67273775	0.246392375	12.9999996	5.2999998	13.0159998	13.3933001	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2535.138939	0	0	0	0	0	0	0	0	0	0	0	0	5.17346288	223.7351808	0	0	0	0	0	5.15	223.76	0	0	0	228.91	0	0	0	0	0	0	0	0	0	0	5.15	0	0	0	0	0	0	0	0	0	0	0	0	223.76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2366	21
MNK	176.88644245869457	-39.68134319706208	4160.21	848.73	0.950234354	639	37.81	0.059	3.75	0.0514625	0.090831125	0.0138355	0.505110875	0.138470633	59.61666663	6.358333267	14.6547003	13.1358004	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	290.052275	0	0	0	0	0	0	0	0	382.2427188	0	0	0	0	0	0	6307.819069	5.659200605	0	0	0	779.3579371	0	63.71653428	7.62	0	0	0	777.6	0	63.52	0	0	777.6	2.61	0	60.91	7.62	0	0	0	0	7.62	0	0	0	7.62	0	9.98	0	50.93	0	0	0	0	0	0	777.6	2.61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1468	7
MNR	174.97703709669972	-37.80242826620534	0	233.81	0.302016526	1496.25	5.14	0.003	3.666666667	0.159166667	0.004783267	0.458753	0.694134	0.26427825	40.4499998	5.42499995	12.6091003	14.4700003	18	0	0	0	74.72805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1508.187888	0	0	0	0	0	0	0	1.540402066	0	0	0	117.259516	109.9833096	5.025778459	0	0	0	0	110.2	117.07	6.52	0	117.07	110.2	6.52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40.64	0	0	110.2	6.52	0	0	0	0	76.43	0	0	0	0	0	0	0	0	0	0	0	1883	21
MNT	176.8730696250808	-39.67093784638962	13630.11	967.08	4.893465996	575.17	0.69	0.001	3.75	0.055	0.0722314	0.012180513	0.5325735	0.041653535	55.0307692	5.869230708	14.7039003	13.335	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	290.052275	0	0	0	0	0	386.3045938	0	0	382.2427188	0	0	0	0	0	0	6307.819069	87.96056988	0	0	0	778.8487457	0	100.2663436	95.32	0	0	0	777.16	0	94.59	0	0	777.16	5.18	0	89.41	95.32	0	0	0	0	95.32	0	0	0	92.03	0	9.98	0	79.43	0	0	0	0	0	0	777.16	5.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.29	1134	7
